,RMSE_x1,COVERAGE_x1,LL_x1,RMSE_x2,COVERAGE_x2,LL_x2,MODEL
10,0.3189570385025333,0.922,1.3899259400043769,0.14772618303515425,0.855,1.9307048547697647,FULLBAYES
11,0.2849672031552149,0.557,2.3950977856852202,0.14532334861284696,0.579,2.910434305519699,FULLBAYES
12,0.36340181369596136,0.922,1.225164732513019,0.17482241807281862,0.961,1.6217497927220759,FULLBAYES
13,0.3293876266383035,0.931,1.4777306277361326,0.14024956659000135,0.862,2.2044738751448234,FULLBAYES
14,0.3258305694842809,0.949,1.2307362982119017,0.1393935579678094,0.936,1.9181388140567974,FULLBAYES
15,0.2962472957627894,0.852,1.7625306688034037,0.11980224555064621,0.849,2.492729433583135,FULLBAYES
16,0.34208657459542074,0.886,1.9018435590197948,0.1409605218538649,0.936,2.3477421400916243,FULLBAYES
17,0.3680531517191787,0.79,2.0370311916811974,0.1560277628636642,0.869,2.4716226384417417,FULLBAYES
18,0.2683465139312673,0.841,1.9620969933535588,0.13458824327410573,0.833,2.5498733465272405,FULLBAYES
19,0.2571476817350126,0.7,2.0880384087777797,0.11728339735591278,0.841,2.5727940340759328,FULLBAYES
20,0.3035406669063635,0.809,2.138664737006032,0.14419960735538434,0.776,2.678150314373947,FULLBAYES
21,0.30717159959214707,0.93,1.7886096614227367,0.14615023837458563,0.896,2.1661897293800862,FULLBAYES
22,0.31002813247894423,0.869,1.4570569079979765,0.13199438026826238,0.852,2.073987585879142,FULLBAYES
23,0.34709866168796183,0.8,1.3999988289692191,0.16298466364919442,0.932,1.9683502639674049,FULLBAYES
24,0.41271809724728725,0.919,1.3461323407559327,0.18802652504461467,0.84,2.1387094583774124,FULLBAYES
