,mean,std,model,measure
0,0.313007492696893,0.041923341599222425,2FE,RMSE_x1
1,0.16403593525353816,0.02083069625241207,2FE,RMSE_x2
2,0.9545599999999999,0.03576263972359982,2FE,COVERAGE_x1
3,0.9715200000000002,0.01981740649025497,2FE,COVERAGE_x2
4,-0.29531039841635565,0.30631464439920225,2FE,LL_x1
5,-0.4277483633772188,0.3184871321232796,2FE,LL_x2
6,0.3253869671839718,0.03842511678115084,2RE,RMSE_x1
7,0.1607116817734426,0.019384847292584415,2RE,RMSE_x2
8,0.8626399999999999,0.0961589850196018,2RE,COVERAGE_x1
9,0.9039600000000001,0.04979114780761737,2RE,COVERAGE_x2
10,0.8343011428437832,0.264644255592685,2RE,LL_x1
11,1.0122218277363122,0.26890458404427714,2RE,LL_x2
12,0.16270153377625174,0.05747404465664466,GPR,RMSE_x1
13,0.07098906526990464,0.020534204946017817,GPR,RMSE_x2
14,0.9869199999999997,0.01485104710113061,GPR,COVERAGE_x1
15,0.9886000000000001,0.012162236636408606,GPR,COVERAGE_x2
16,1.474002837228378,0.30064919909254456,GPR,LL_x1
17,2.134343807759791,0.31436956755170986,GPR,LL_x2
18,0.32225263691053885,0.043193044759329786,FULLBAYES,RMSE_x1
19,0.14635484162921097,0.021789555266580305,FULLBAYES,RMSE_x2
20,0.8214400000000002,0.1019906191764713,FULLBAYES,COVERAGE_x1
21,0.82788,0.1099444659816946,FULLBAYES,COVERAGE_x2
22,1.775231432002223,0.4119569471101987,FULLBAYES,LL_x1
23,2.3262226021441497,0.4410809781471789,FULLBAYES,LL_x2
24,-1.1837600000000001,0.07383618625037457,2FE,EVIDENCE
25,-1.2231599999999998,0.074352500966679,2RE,EVIDENCE
26,-0.4947600000000001,0.028307285281354705,GPR,EVIDENCE
27,-0.6702400000000001,0.18708250158686676,FULLBAYES,EVIDENCE
