country,year,PIRI,mu_D0,mu_D1,std,AIShame
ALBANIA,1983,6.0,6.000000000000002,6.350479985478803,0.1568727357819791,0.0
ALBANIA,1992,2.0,2.0000000000000027,2.3504799854788043,0.15687273578197627,0.0
ALBANIA,1993,2.0,2.000000000000001,2.3504799854788025,0.15687273578197486,0.0
ALBANIA,1994,1.0,0.6495200145211977,0.9999999999999996,0.15752284145015233,1.0
ALBANIA,1995,4.0,3.649520014521201,4.000000000000003,0.1575228414501495,1.0
ALBANIA,1996,4.0,3.6495200145211957,3.9999999999999973,0.1575228414501502,1.0
ALBANIA,1997,4.0,3.6495200145212,4.000000000000002,0.15752284145015233,1.0
ALBANIA,1998,3.0,2.999999999999993,3.3504799854787946,0.156872735781977,0.0
ALBANIA,1999,3.0,2.6495200145211992,3.0000000000000013,0.1575228414501509,1.0
ALBANIA,2000,5.0,4.649520014521205,5.000000000000006,0.1575228414501495,1.0
ALGERIA,1983,1.0,0.9999999999999953,1.3504799854787972,0.156872735781977,0.0
ALGERIA,1984,3.0,3.0000000000000018,3.350479985478804,0.15687273578197627,0.0
ALGERIA,1985,1.0,1.0000000000000016,1.3504799854788034,0.156872735781977,0.0
ALGERIA,1986,2.0,1.9999999999999958,2.3504799854787977,0.1568727357819791,0.0
ALGERIA,1987,3.0,2.9999999999999982,3.3504799854788,0.15687273578197627,0.0
ALGERIA,1988,4.0,3.649520014521203,4.000000000000004,0.15752284145015444,1.0
ALGERIA,1989,3.0,2.9999999999999947,3.3504799854787963,0.15687273578198052,0.0
ALGERIA,1990,3.0,2.999999999999991,3.3504799854787928,0.15687273578197627,0.0
ALGERIA,1991,4.0,3.9999999999999947,4.350479985478796,0.15687273578198052,0.0
ALGERIA,1992,6.0,6.000000000000001,6.3504799854788025,0.15687273578198194,0.0
ALGERIA,1993,6.0,5.999999999999985,6.350479985478787,0.15687273578197627,0.0
ALGERIA,1994,6.0,5.649520014521199,6.000000000000001,0.15752284145015372,1.0
ALGERIA,1995,8.0,7.649520014521199,8.0,0.1575228414501516,1.0
ALGERIA,1996,5.0,4.649520014521196,4.999999999999997,0.15752284145015866,1.0
ALGERIA,1997,8.0,7.649520014521203,8.000000000000004,0.1575228414501509,1.0
ALGERIA,1998,4.0,3.6495200145211877,3.9999999999999893,0.15752284145015513,1.0
ALGERIA,1999,8.0,7.649520014521191,7.999999999999993,0.15752284145014808,1.0
ALGERIA,2000,4.0,3.6495200145211912,3.9999999999999933,0.1575228414501495,1.0
ANGOLA,1983,6.0,6.000000000000001,6.3504799854788025,0.1568727357819791,0.0
ANGOLA,1984,5.0,4.999999999999998,5.3504799854788,0.15687273578197983,0.0
ANGOLA,1985,3.0,2.999999999999993,3.3504799854787946,0.15687273578198052,0.0
ANGOLA,1986,4.0,3.9999999999999947,4.350479985478796,0.1568727357819791,0.0
ANGOLA,1987,5.0,4.999999999999997,5.350479985478799,0.1568727357819777,0.0
ANGOLA,1988,4.0,4.0,4.350479985478802,0.1568727357819791,0.0
ANGOLA,1989,7.0,6.999999999999995,7.350479985478796,0.1568727357819784,0.0
ANGOLA,1990,5.0,4.999999999999995,5.350479985478796,0.15687273578197486,0.0
ANGOLA,1995,7.0,6.999999999999993,7.3504799854787946,0.15687273578197558,0.0
ANGOLA,1996,8.0,7.649520014521196,7.999999999999997,0.1575228414501502,1.0
ANGOLA,1997,8.0,7.6495200145212,8.000000000000002,0.15752284145014808,1.0
ANGOLA,1998,7.0,6.649520014521198,7.0,0.15752284145014808,1.0
ANGOLA,1999,6.0,5.6495200145212054,6.000000000000007,0.1575228414501488,1.0
ANGOLA,2000,7.0,6.649520014521202,7.0000000000000036,0.1575228414501488,1.0
ARGENTIN,1983,2.0,1.6495200145212,2.0000000000000018,0.15752284145015302,1.0
ARGENTIN,1984,2.0,1.9999999999999936,2.3504799854787954,0.15687273578198407,0.0
ARGENTIN,1985,1.0,0.9999999999999936,1.3504799854787954,0.15687273578198266,0.0
ARGENTIN,1986,0.0,-2.220446049250313e-16,0.3504799854788016,0.15687273578198124,0.0
ARGENTIN,1987,2.0,1.6495200145212017,2.0000000000000036,0.15752284145015372,1.0
ARGENTIN,1988,2.0,1.9999999999999953,2.350479985478797,0.15687273578198477,0.0
ARGENTIN,1989,1.0,0.9999999999999971,1.350479985478799,0.15687273578198266,0.0
ARGENTIN,1990,4.0,3.649520014521195,3.999999999999997,0.15752284145015302,1.0
ARGENTIN,1991,2.0,2.0000000000000044,2.350479985478806,0.15687273578198194,0.0
ARGENTIN,1992,2.0,2.000000000000001,2.3504799854788025,0.15687273578198266,0.0
ARGENTIN,1993,3.0,2.9999999999999964,3.3504799854787986,0.15687273578198407,0.0
ARGENTIN,1994,3.0,2.6495200145211966,2.9999999999999987,0.1575228414501509,1.0
ARGENTIN,1995,1.0,0.6495200145212052,1.000000000000007,0.1575228414501488,1.0
ARGENTIN,1996,3.0,2.999999999999991,3.350479985478793,0.15687273578198194,0.0
ARGENTIN,1997,3.0,2.6495200145211966,2.9999999999999987,0.1575228414501516,1.0
ARGENTIN,1998,5.0,4.649520014521199,5.000000000000001,0.15752284145015372,1.0
ARGENTIN,1999,4.0,3.9999999999999982,4.3504799854788,0.15687273578198124,0.0
ARGENTIN,2000,5.0,4.649520014521199,5.000000000000001,0.1575228414501502,1.0
ARMENIA,1994,1.0,0.6495200145211968,0.9999999999999987,0.1575228414501502,1.0
ARMENIA,1995,3.0,2.649520014521201,3.0000000000000027,0.15752284145015372,1.0
ARMENIA,1996,3.0,2.6495200145211966,2.9999999999999987,0.15752284145015233,1.0
ARMENIA,1997,3.0,3.0000000000000018,3.350479985478804,0.15687273578198052,0.0
ARMENIA,1998,4.0,3.6495200145212037,4.000000000000005,0.15752284145015233,1.0
ARMENIA,1999,2.0,2.000000000000006,2.350479985478808,0.15687273578198052,0.0
ARMENIA,2000,4.0,3.6495200145212063,4.000000000000008,0.1575228414501502,1.0
AUSTRAL,1983,1.0,0.9999999999999962,1.350479985478798,0.1568727357819784,0.0
AUSTRAL,1984,0.0,2.220446049250313e-16,0.35047998547880205,0.15687273578197983,0.0
AUSTRAL,1985,0.0,-5.995204332975845e-15,0.35047998547879583,0.1568727357819784,0.0
AUSTRAL,1986,1.0,0.9999999999999953,1.3504799854787972,0.1568727357819784,0.0
AUSTRAL,1987,0.0,-3.9968028886505635e-15,0.35047998547879783,0.1568727357819791,0.0
AUSTRAL,1988,2.0,1.9999999999999953,2.350479985478797,0.15687273578197558,0.0
AUSTRAL,1989,1.0,0.9999999999999936,1.3504799854787954,0.1568727357819791,0.0
AUSTRAL,1990,1.0,0.9999999999999942,1.350479985478796,0.15687273578198052,0.0
AUSTRAL,1991,1.0,0.9999999999999989,1.3504799854788008,0.15687273578198052,0.0
AUSTRAL,1992,1.0,0.9999999999999891,1.350479985478791,0.15687273578198052,0.0
AUSTRAL,1993,0.0,-0.3504799854788023,-4.996003610813204e-16,0.15752284145015302,1.0
AUSTRAL,1994,2.0,1.6495200145211883,1.9999999999999902,0.1575228414501516,1.0
AUSTRAL,1995,0.0,-0.35047998547880455,-2.7200464103316335e-15,0.15752284145015655,1.0
AUSTRAL,1996,1.0,0.6495200145211928,0.9999999999999947,0.1575228414501495,1.0
AUSTRAL,1997,1.0,0.6495200145211926,0.9999999999999944,0.15752284145014667,1.0
AUSTRAL,1998,1.0,0.6495200145211981,1.0,0.15752284145015513,1.0
AUSTRAL,1999,1.0,0.6495200145211968,0.9999999999999987,0.15752284145015655,1.0
AUSTRAL,2000,1.0,0.6495200145211981,1.0,0.15752284145015513,1.0
AUSTRIA,1983,0.0,-8.215650382226158e-15,0.3504799854787936,0.15687273578197983,0.0
AUSTRIA,1984,0.0,-1.021405182655144e-14,0.3504799854787916,0.1568727357819784,0.0
AUSTRIA,1985,0.0,4.218847493575595e-15,0.35047998547880604,0.15687273578198052,0.0
AUSTRIA,1986,0.0,-1.3322676295501878e-15,0.3504799854788005,0.156872735781977,0.0
AUSTRIA,1987,0.0,-1.1324274851176597e-14,0.3504799854787905,0.1568727357819784,0.0
AUSTRIA,1988,2.0,1.9999999999999953,2.350479985478797,0.15687273578198052,0.0
AUSTRIA,1989,1.0,1.0000000000000016,1.3504799854788034,0.156872735781977,0.0
AUSTRIA,1990,1.0,0.6495200145211999,1.0000000000000018,0.15752284145015233,1.0
AUSTRIA,1991,1.0,1.0000000000000013,1.3504799854788032,0.15687273578197627,0.0
AUSTRIA,1992,1.0,0.9999999999999978,1.3504799854787997,0.1568727357819784,0.0
AUSTRIA,1993,1.0,0.9999999999999962,1.350479985478798,0.1568727357819784,0.0
AUSTRIA,1994,1.0,0.6495200145211937,0.9999999999999956,0.1575228414501516,1.0
AUSTRIA,1995,1.0,0.6495200145212021,1.000000000000004,0.1575228414501516,1.0
AUSTRIA,1996,0.0,-0.3504799854788019,-5.551115123125783e-17,0.1575228414501516,1.0
AUSTRIA,1997,0.0,1.9984014443252818e-15,0.3504799854788038,0.1568727357819791,0.0
AUSTRIA,1998,2.0,2.000000000000006,2.350479985478808,0.15687273578197486,0.0
AUSTRIA,1999,1.0,0.6495200145211999,1.0000000000000018,0.1575228414501502,1.0
AUSTRIA,2000,3.0,2.6495200145211877,2.9999999999999893,0.15752284145015302,1.0
BAHRAIN,1983,3.0,3.0000000000000018,3.3504799854788034,0.1568727357819784,0.0
BAHRAIN,1984,4.0,3.9999999999999947,4.350479985478796,0.15687273578197275,0.0
BAHRAIN,1985,3.0,2.999999999999992,3.3504799854787937,0.156872735781977,0.0
BAHRAIN,1986,2.0,1.9999999999999918,2.3504799854787937,0.15687273578198124,0.0
BAHRAIN,1987,3.0,2.999999999999994,3.350479985478796,0.15687273578198335,0.0
BAHRAIN,1988,2.0,1.9999999999999931,2.350479985478795,0.1568727357819791,0.0
BAHRAIN,1989,3.0,2.999999999999999,3.3504799854788008,0.15687273578198124,0.0
BAHRAIN,1990,3.0,3.0,3.3504799854788017,0.15687273578197983,0.0
BAHRAIN,1991,2.0,1.6495200145211995,2.0000000000000013,0.15752284145015372,1.0
BAHRAIN,1992,2.0,2.0000000000000018,2.3504799854788034,0.15687273578198052,0.0
BAHRAIN,1993,3.0,2.9999999999999964,3.3504799854787986,0.15687273578198266,0.0
BAHRAIN,1994,2.0,1.9999999999999922,2.350479985478794,0.1568727357819777,0.0
BAHRAIN,1995,4.0,3.6495200145211886,3.9999999999999907,0.15752284145014667,1.0
BAHRAIN,1996,5.0,4.649520014521198,5.0,0.1575228414501495,1.0
BAHRAIN,1997,3.0,2.6495200145212,3.000000000000002,0.15752284145015655,1.0
BAHRAIN,1998,5.0,4.999999999999995,5.350479985478796,0.15687273578197558,0.0
BAHRAIN,1999,3.0,2.6495200145211966,2.9999999999999982,0.1575228414501516,1.0
BAHRAIN,2000,5.0,4.649520014521195,4.9999999999999964,0.1575228414501509,1.0
BANGLAD,1983,4.0,4.000000000000001,4.3504799854788025,0.1568727357819791,0.0
BANGLAD,1984,3.0,3.0000000000000018,3.350479985478804,0.15687273578198194,0.0
BANGLAD,1985,4.0,3.9999999999999964,4.350479985478798,0.15687273578197558,0.0
BANGLAD,1986,3.0,2.6495200145211912,2.9999999999999933,0.1575228414501495,1.0
BANGLAD,1987,4.0,3.6495200145212054,4.000000000000007,0.15752284145015655,1.0
