gpr_mean,true_y,gpr_lwr,gpr_upr,year,country
0.32915745223945875,0.0,-1.1535584506686298,1.8118733551475472,2000,IRELAND
0.09059673533275742,0.0,-1.3996276536563923,1.5808211243219072,1983,BELGIUM
0.06351545588781138,0.0,-1.4193406322728959,1.5463715440485188,1984,BELGIUM
0.049216535581827425,0.0,-1.42827832187861,1.5267113930422649,1985,BELGIUM
0.04459022442527005,0.0,-1.4293038325378127,1.5184842813883528,1986,BELGIUM
0.045373653636231914,0.0,-1.424968183064404,1.515715490336868,1987,BELGIUM
0.04482402397521701,0.0,-1.4207427298331115,1.5103907777835452,1988,BELGIUM
0.04457444777160857,0.0,-1.41554187207494,1.5046907676181571,1989,BELGIUM
0.03979791173409286,0.0,-1.4158848664086836,1.4954806898768696,1990,BELGIUM
0.0315965990201309,0.0,-1.421871090150972,1.4850642881912335,1991,BELGIUM
0.023994793880881826,0.0,-1.4296452343227126,1.4776348220844762,1992,BELGIUM
0.03777028058658305,0.0,-1.4181541065729322,1.493694667746098,1993,BELGIUM
0.0809270131561931,0.0,-1.3791001479017582,1.5409541742141446,1994,BELGIUM
0.17151674850083592,0.0,-1.2936322739004098,1.6366657709020818,1995,BELGIUM
0.2932035211141464,0.0,-1.1767764273695733,1.763183469597866,1996,BELGIUM
0.398363766471701,1.0,-1.0756247167247808,1.8723522496681828,1997,BELGIUM
0.522625766280972,1.0,-0.9561354974231987,2.0013870299851426,1998,BELGIUM
0.5982705739207358,0.0,-0.8861091686526269,2.0826503164940986,1999,BELGIUM
0.5523125713991154,1.0,-0.9392958872796645,2.0439210300778954,2000,BELGIUM
1.5052276817100891,1.0,0.02813564302605709,2.982319720394121,1983,FRANCE
1.589515332736228,2.0,0.12686059111006864,3.052170074362387,1984,FRANCE
1.7952863655113247,1.0,0.3422198461543349,3.2483528848683143,1985,FRANCE
2.080034910274443,2.0,0.630672898275912,3.5293969222729737,1986,FRANCE
2.4163934160271134,3.0,0.967496755902864,3.865290076151363,1987,FRANCE
2.516408245513239,3.0,1.068316709825114,3.9644997812013636,1988,FRANCE
1.7146204717053888,3.0,0.2683252734053341,3.1609156700054433,1989,FRANCE
1.4043213822159502,1.0,-0.037919327472193176,2.8465620919040937,1990,FRANCE
1.0144519439114124,0.0,-0.4244932196982212,2.453397107521046,1991,FRANCE
1.3392228679644134,2.0,-0.10271267399642592,2.7811584099252524,1992,FRANCE
0.43010386094186104,0.0,-1.0120838515080823,1.8722915733918044,1993,FRANCE
