,cat_rat,ccpr_rat,polrt,cvrt,hrai,hrsd,country,year,idcode,PIRI,Dis,Kill,Pris,Tort,Polity2,Civilwar2,War,gdppc,pop,Media_ai_rn,Media_ai_br,Media_ai_tot,Media_ec,Media_nw,Media_tot,Media_ave,INGO_uia,UNShame,intensity,yearLag1,PIRILag1,PIRILag2,PIRILead1,polrtLag1,polrtLag2,polrtLead1,democratic,Media_ai_tot_ph,logAI,AIShame,log_gdppc,log_pop
1636,1,1,4,3,2,2,FYRM,2000,343,1,0,0,0,1,6,0,0,1770.418945,2026000,3,5,8,0,0,0,0,NA,0,1,1999,2,1,4,3,3,4,1,8,2.062600793,1,7.47897149,14.52157396
1659,1,1,4,4,3,3,CROATIA,1996,344,1,0,1,0,0,-5,0,0,3675.689941,4490000,1,5,6,1,0,1,0.5,828,0,2,1995,6,4,0,4,4,4,0,6,1.77491872,1,8.209496133,15.31736326
1660,1,1,4,4,3,3,CROATIA,1997,344,0,0,0,0,0,-5,0,0,3856.916992,4570000,1,8,9,0,0,0,0,927,0,1,1996,1,6,3,4,4,4,0,9,2.180383828,1,8.257623437,15.33502376
1661,1,1,4,4,3,3,CROATIA,1998,344,3,0,1,1,1,-5,0,0,4015.784912,4500000,5,6,11,1,0,1,0.5,1025,0,2,1997,0,1,1,4,4,4,0,11,2.381054524,1,8.297988102,15.31958795
1662,1,1,4,4,3,3,CROATIA,1999,344,1,0,0,0,1,1,0,0,3937.458008,4550000,1,5,6,0,0,0,0,1080,0,1,1998,3,0,2,4,4,2,0,6,1.77491872,1,8.278290618,15.33063779
1663,1,1,2,3,1,1,CROATIA,2000,344,2,1,0,0,1,7,0,0,4207.129883,4380000,0,3,3,0,0,0,0,NA,0,1,1999,1,3,2,4,4,3,1,3,1.08177154,0,8.344535956,15.29255928
1750,1,1,1,2,NA,NA,SLOVENIA,1996,349,0,0,0,0,0,10,0,0,8085.599121,1991000,0,0,0,0,0,0,0,866,NA,NA,1995,0,0,0,1,1,1,1,0.01,-4.622010935,0,8.997839872,14.50414758
1751,1,1,1,2,NA,NA,SLOVENIA,1997,349,0,0,0,0,0,10,0,0,8475.716797,1985960,0,2,2,0,0,0,0,969,NA,NA,1996,0,0,0,1,1,1,1,2,0.676306431,0,9.044960506,14.50161298
1752,1,1,1,2,NA,NA,SLOVENIA,1998,349,0,0,0,0,0,10,0,0,8812.038086,1982600,0,0,0,0,0,0,0,1064,NA,NA,1997,0,0,0,1,1,1,1,0.01,-4.622010935,0,9.08387403,14.49991967
1753,1,1,1,2,NA,NA,SLOVENIA,1999,349,0,0,0,0,0,10,0,0,9257.414063,1985500,0,0,0,0,0,0,0,1130,NA,NA,1998,0,0,1,1,1,1,1,0.01,-4.622010935,0,9.13318003,14.50138133
