gpr_mean,true_y,gpr_lwr,gpr_upr,month,unit
1.2056530485753507,0.0,0.11785910121241061,2.293446995938291,67,332
1.2871508561830496,0.0,0.17483964294447096,2.399462069421628,68,332
0.328925263578026,0.0,-0.8128935712010867,1.4707440983571387,69,332
2.1826641221575516,0.0,1.0190708832608832,3.34625736105422,70,332
4.758072944596225,11.1111111111111,3.5090402229059516,6.007105666286497,73,332
-0.9274239468788954,0.0,-2.2015408374321197,0.3466929436743289,0,333
0.7488736796979216,0.0,-0.4999248225917625,1.9976721819876058,1,333
3.8752644727282144,0.0,2.6528361967829825,5.097692748673446,2,333
8.28219198249744,0.0,7.079626083959688,9.484757881035193,3,333
4.305164756802682,5.88235294117647,3.118534265560924,5.491795248044441,4,333
0.30924237876542904,0.0,-0.8685263334103386,1.4870110909411967,5,333
6.094559066673474,0.0,4.941350938509334,7.247767194837614,6,333
6.975228947041066,0.0,5.83651133993603,8.113946554146102,7,333
10.955665457841459,0.366300366300366,9.821737168357213,12.089593747325704,8,333
9.806482704115417,0.0,8.688681717567874,10.92428369066296,9,333
9.050887850374025,2.83687943262411,7.947113083669215,10.154662617078834,10,333
4.649071589623798,7.69230769230769,3.564872166012333,5.733271013235263,11,333
2.2358500364214584,10.0,1.162855375836535,3.308844697006382,12,333
11.757389581930171,16.4414414414414,10.66980878470465,12.844970379155694,13,333
7.174881707420693,15.3846153846154,6.113432313879144,8.236331100962241,14,333
3.6598391828704413,15.0,2.611617481795159,4.708060883945723,15,333
5.440310512317279,14.2857142857143,4.393830913737279,6.486790110897278,16,333
6.63171619008852,17.3913043478261,5.584438889960402,7.678993490216638,17,333
6.876096340187749,10.2564102564103,5.828485518329448,7.923707162046049,18,333
6.095500340154703,3.38983050847458,5.049146854745901,7.141853825563505,19,333
5.168204022894873,2.38095238095238,4.121324090334872,6.215083955454874,20,333
6.7826631729529385,8.64197530864197,5.725016384870477,7.8403099610354,21,333
7.692556558282341,3.38983050847458,6.62367935363452,8.761433762930162,22,333
5.586237252217359,7.54716981132075,4.516241487020052,6.6562330174146656,23,333
8.948230682131143,6.5,7.852979507299815,10.043481856962472,24,333
8.858558674573423,15.7360406091371,7.751246260691746,9.965871088455101,25,333
8.303928169509373,14.8148148148148,7.185433758414888,9.422422580603858,26,333
9.001554248009588,6.01851851851852,7.864611709162269,10.138496786856908,27,333
11.615697411936228,4.15973377703827,10.448391549531378,12.783003274341079,28,333
8.425504100333901,5.58659217877095,7.2586315080721935,9.592376692595609,29,333
7.30673431973289,6.77966101694915,6.1272468724945375,8.486221766971243,30,333
8.885155699755934,5.88235294117647,7.681830067522639,10.08848133198923,31,333
9.556321320676055,4.12371134020619,8.332860233828427,10.779782407523683,32,333
